ドメイン,プラットフォーム,機関数,NJSS案件数,例URL
www.mod.go.jp,防衛省調達,38,866,https://www.mod.go.jp/asdf/hyakuri/acs/2-7_procurement/nyusatu_jyouhou/2026.6kekka.pdf
www.p-portal.go.jp,政府電子調達(GEPS),62,724,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101
www.pref.saitama.lg.jp,埼玉電子入札,24,588,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/index.html
www.chotatsu.e-aichi.jp,e-Aichi,25,560,https://www.chotatsu.e-aichi.jp/ebidPPIPublish/EjPPIj#d3ebe676-8f24-4021-a215-4968729af586
www.e-procurement.metro.tokyo.lg.jp,東京都電子調達,1,530,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp
www.e-tokyo.lg.jp,東京電子自治体共同運営,37,454,https://www.e-tokyo.lg.jp/choutatu_ppij/cmn/tmg/cmn/jsp/indexQ.jsp
www.bit.courts.go.jp,裁判所BIT,32,408,https://www.bit.courts.go.jp/
www.keirinwa.com,個別/不明,1,405,https://www.keirinwa.com/news/pdf/2604_event01.pdf?26041301
www.pref.akita.lg.jp,個別/不明,1,354,https://www.pref.akita.lg.jp/uploads/public/archive_0000080763_00/R%EF%BC%98/%E3%80%90%E8%B3%87%E6%96%99%EF%BC%91%E3%80%91%E8%AA%AD%E6%9B%B8%E6%B4%BB%E5%8B%95%E6%8E%A8%E9%80%B2%E4%BA%8B%E6%A5%AD%E6%A5%AD%E5%8B%99%E5%A7%94%E8%A8%97%E4%BC%81%E7%94%BB%E6%8F%90%E6%A1%88%E7%AB%B6%E6%8A%80%E5%AE%9F%E6%96%BD%E8%A6%81%E9%A0%98.pdf
www.rinya.maff.go.jp,個別/不明,4,287,https://www.rinya.maff.go.jp/tohoku/syo/aomorizimusyo/attach/pdf/nyusatujouhou-530.pdf
www.buppin.e-aichi.jp,e-Aichi,16,279,https://www.buppin.e-aichi.jp/public/pubBiddingList.do?methodName=execBiddingNotice&nend=2026&orderNum=2604172320100708547&groupCd=23201
www.keiyaku.city.osaka.lg.jp,個別/不明,1,250,http://www.keiyaku.city.osaka.lg.jp/
www.pref.ibaraki.jp,個別/不明,3,246,https://www.pref.ibaraki.jp/kaikei/kaikanri/shidositsu/chodo/denshityotatsu/top.html
dennyu.pref.kagawa.lg.jp,PPI_P,11,232,https://dennyu.pref.kagawa.lg.jp/PPI_P/?procKbn=0
www.jica.go.jp,個別/不明,1,210,https://www.jica.go.jp/about/announce/domestic/02/12/__icsFiles/afieldfile/2026/04/17/0.pdf
ebid-portal.kumamoto-idc.pref.kumamoto.jp,PPI_P,16,207,http://ebid-portal.kumamoto-idc.pref.kumamoto.jp/
www.i-ppi.jp,統合PPI,8,205,https://www.i-ppi.jp/IPPI/SearchServices/Web/Index.htm
www.city.kure.lg.jp,個別/不明,1,202,https://www.city.kure.lg.jp/~yodo/mitumori_i/index.html
kyoto.efftis.jp,efftis入札情報公開,9,179,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/Menu/ppi_p_main.vm
www.kagoshima-nyusatsu.jp,鹿児島共同,10,157,https://www.kagoshima-nyusatsu.jp/accept/index.html
www.city.itoigawa.lg.jp,個別/不明,1,155,https://www.city.itoigawa.lg.jp/uploaded/attachment/18343.pdf
www.idc.e-harp.jp,e-harp(北海道),6,146,https://www.idc.e-harp.jp/Public/PortalWeb/PublicHomeInit.do
www.city.shimonoseki.lg.jp,個別/不明,1,142,https://www.city.shimonoseki.lg.jp/uploaded/life/154599_609426_misc.pdf
e2ppiw01.e-bisc.go.jp,e-bisc(独法調達),8,138,https://e2ppiw01.e-bisc.go.jp/CALS/Publish/KokaiBunshoServlet?AnkenKanriNo=022010002026422000000668&BunshoKanriId=20
toyama.efftis.jp,efftis入札情報公開,7,136,https://toyama.efftis.jp/portal/ppi-link.html
buppinnet.pref.kochi.lg.jp,個別/不明,1,132,https://buppinnet.pref.kochi.lg.jp/bpd/bpd4110
choutatsuweb.pref.shimane.lg.jp,個別/不明,5,123,https://choutatsuweb.pref.shimane.lg.jp/SMN/PPI_P/pages/Menu/ppi_p_main_d.vm
www.pref.miyagi.jp,個別/不明,1,121,https://www.pref.miyagi.jp/documents/64562/bosyuu.pdf
www.pref.niigata.lg.jp,個別/不明,8,121,https://www.pref.niigata.lg.jp/uploaded/attachment/491256.pdf
www.t-elis.pref.oita.lg.jp,個別/不明,8,109,https://www.t-elis.pref.oita.lg.jp/DENTYO/GPPI_MENU
portal.g-cals.e-gunma.lg.jp,電子入札コアシステム,11,105,https://portal.g-cals.e-gunma.lg.jp/ebia/servlet/p?job=AcDantaiZIndex
www.pref.ishikawa.lg.jp,個別/不明,1,104,https://www.pref.ishikawa.lg.jp/kanri/cals-ec/bidding_information.html
