name,njss_count,top_url,domain,platform_n,bid_url,sample_url,fetched_at
官報,2214,https://www.kanpo.go.jp/,www.kanpo.go.jp,0,https://www.kanpo.go.jp/20260501/20260501c00080/20260501c000800120f.html,https://www2.njss.info/organizations/proc/1572,2026-07-09
東京都庁,1777,https://www.e-procurement.metro.tokyo.lg.jp/,www.e-procurement.metro.tokyo.lg.jp,0,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp,https://www2.njss.info/organizations/proc/1682,2026-07-09
尼崎市役所,1320,https://www.nyusatsu.e-hyogo.jp/,www.nyusatsu.e-hyogo.jp,0,https://www.nyusatsu.e-hyogo.jp/ebidPPIPublish/EjPPIj,https://www2.njss.info/organizations/proc/1735,2026-07-09
国土交通省(MLIT),1018,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/1105,2026-07-09
茨城県庁,723,https://www.pref.ibaraki.jp/,www.pref.ibaraki.jp,0,https://www.pref.ibaraki.jp/kaikei/kaikanri/shidositsu/chodo/denshityotatsu/top.html,https://www2.njss.info/organizations/proc/1638,2026-07-09
西宮市役所,714,https://www.nyusatsu.e-hyogo.jp/,www.nyusatsu.e-hyogo.jp,0,https://www.nyusatsu.e-hyogo.jp/ebidPPIPublish/EjPPIj,https://www2.njss.info/organizations/proc/1774,2026-07-09
愛知県庁,688,https://www.chotatsu.e-aichi.jp/,www.chotatsu.e-aichi.jp,0,https://www.chotatsu.e-aichi.jp/ebidPPIPublish/EjPPIj#d3ebe676-8f24-4021-a215-4968729af586,https://www2.njss.info/organizations/proc/1579,2026-07-09
千葉県庁,617,https://www.pref.chiba.lg.jp/,www.pref.chiba.lg.jp,0,https://www.pref.chiba.lg.jp/tosei/press/2025/080220-kaneda.html,https://www2.njss.info/organizations/proc/1640,2026-07-09
郡山市役所,599,https://www.city.koriyama.lg.jp/,www.city.koriyama.lg.jp,0,https://www.city.koriyama.lg.jp/site/keiyakuportal/2923.html,https://www2.njss.info/organizations/proc/1718,2026-07-09
防衛省(MOD) 防衛装備庁,598,https://www.p-portal.go.jp/,www.p-portal.go.jp,0,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/26,2026-07-09
