機関名,分類,所在地,NJSS受付中件数,NJSS登録案件数,追加可否,理由・備考,公式サイトURL,調達・入札ページURL,NJSS機関ページ
官報,外郭団体等,東京都,2214,326960,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.kanpo.go.jp/,https://www.kanpo.go.jp/20260501/20260501c00080/20260501c000800120f.html,https://www2.njss.info/organizations/proc/1572
東京都庁,都道府県庁,東京都,1777,583972,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.e-procurement.metro.tokyo.lg.jp/,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp,https://www2.njss.info/organizations/proc/1682
尼崎市役所,市区町村役所,兵庫県,1320,9825,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.nyusatsu.e-hyogo.jp/,https://www.nyusatsu.e-hyogo.jp/ebidPPIPublish/EjPPIj,https://www2.njss.info/organizations/proc/1735
国土交通省(MLIT),国土交通省,東京都,1018,148349,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.p-portal.go.jp/,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/1105
茨城県庁,都道府県庁,茨城県,723,735529,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.pref.ibaraki.jp/,https://www.pref.ibaraki.jp/kaikei/kaikanri/shidositsu/chodo/denshityotatsu/top.html,https://www2.njss.info/organizations/proc/1638
西宮市役所,市区町村役所,兵庫県,714,13060,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.nyusatsu.e-hyogo.jp/,https://www.nyusatsu.e-hyogo.jp/ebidPPIPublish/EjPPIj,https://www2.njss.info/organizations/proc/1774
愛知県庁,都道府県庁,愛知県,688,354983,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.chotatsu.e-aichi.jp/,https://www.chotatsu.e-aichi.jp/ebidPPIPublish/EjPPIj#d3ebe676-8f24-4021-a215-4968729af586,https://www2.njss.info/organizations/proc/1579
千葉県庁,都道府県庁,千葉県,617,180267,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.pref.chiba.lg.jp/,https://www.pref.chiba.lg.jp/tosei/press/2025/080220-kaneda.html,https://www2.njss.info/organizations/proc/1640
郡山市役所,市区町村役所,福島県,599,30261,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.city.koriyama.lg.jp/,https://www.city.koriyama.lg.jp/site/keiyakuportal/2923.html,https://www2.njss.info/organizations/proc/1718
防衛省(MOD) 防衛装備庁,その他防衛省,東京都,598,153728,追加済み,既存の監視機関シートに登録あり（URL流用）,https://www.p-portal.go.jp/,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,https://www2.njss.info/organizations/proc/26
秋田県庁,都道府県庁,秋田県,575,591873,追加済み,公式サイト・調達ページを自動確認,https://www.pref.akita.lg.jp/,https://www.pref.akita.lg.jp/pages/genre/11700,https://www2.njss.info/organizations/proc/1688
静岡県庁,都道府県庁,静岡県,558,161422,追加済み,公式サイト・調達ページを自動確認,https://www.pref.shizuoka.jp/,https://www.pref.shizuoka.jp/kensei/nyusatsukobai/index.html,https://www2.njss.info/organizations/proc/1581
