name,proc_id,njss_url,address,categories,open_count,total_count,result_count
官報,1572,https://www2.njss.info/organizations/proc/1572,東京都,国・省庁|外郭団体等,2214,326960,259956
東京都庁,1682,https://www2.njss.info/organizations/proc/1682,東京都,地方公共団体|都道府県庁,1777,583972,537765
尼崎市役所,1735,https://www2.njss.info/organizations/proc/1735,兵庫県,地方公共団体|市区町村役所,1320,9825,5273
国土交通省(MLIT),1105,https://www2.njss.info/organizations/proc/1105,東京都,国・省庁|国土交通省,1018,148349,96392
茨城県庁,1638,https://www2.njss.info/organizations/proc/1638,茨城県,地方公共団体|都道府県庁,723,735529,662165
西宮市役所,1774,https://www2.njss.info/organizations/proc/1774,兵庫県,地方公共団体|市区町村役所,714,13060,9370
愛知県庁,1579,https://www2.njss.info/organizations/proc/1579,愛知県,地方公共団体|都道府県庁,688,354983,294469
千葉県庁,1640,https://www2.njss.info/organizations/proc/1640,千葉県,地方公共団体|都道府県庁,617,180267,147853
郡山市役所,1718,https://www2.njss.info/organizations/proc/1718,福島県,地方公共団体|市区町村役所,599,30261,25611
防衛省(MOD) 防衛装備庁,26,https://www2.njss.info/organizations/proc/26,東京都,国・省庁|防衛省|その他防衛省,598,153728,121211
秋田県庁,1688,https://www2.njss.info/organizations/proc/1688,秋田県,地方公共団体|都道府県庁,575,591873,478039
静岡県庁,1581,https://www2.njss.info/organizations/proc/1581,静岡県,地方公共団体|都道府県庁,558,161422,120478
京都市役所,1668,https://www2.njss.info/organizations/proc/1668,京都府,地方公共団体|市区町村役所,557,232216,46769
大阪市役所,1658,https://www2.njss.info/organizations/proc/1658,大阪府,地方公共団体|市区町村役所,542,225913,188107
岡山県庁,1584,https://www2.njss.info/organizations/proc/1584,岡山県,地方公共団体|都道府県庁,519,264604,105256
熊本県庁,1702,https://www2.njss.info/organizations/proc/1702,熊本県,地方公共団体|都道府県庁,503,141629,122881
岩手県庁,1636,https://www2.njss.info/organizations/proc/1636,岩手県,地方公共団体|都道府県庁,484,797849,706384
埼玉県庁,1683,https://www2.njss.info/organizations/proc/1683,埼玉県,地方公共団体|都道府県庁,483,196389,172706
日本原子力研究開発機構(JAEA),220,https://www2.njss.info/organizations/proc/220,茨城県,国・省庁|外郭団体等|認可法人|独立行政法人,475,90964,82694
神奈川県庁,1458,https://www2.njss.info/organizations/proc/1458,神奈川県,地方公共団体|都道府県庁,452,313584,281101
徳島県庁,1586,https://www2.njss.info/organizations/proc/1586,徳島県,地方公共団体|都道府県庁,446,68411,58180
国土交通省(MLIT) 九州地方整備局,505,https://www2.njss.info/organizations/proc/505,福岡県,国・省庁|国土交通省|整備局,445,76139,64758
財務省(MOF) 国税庁(NTA),434,https://www2.njss.info/organizations/proc/434,東京都,国・省庁|財務省|国税庁,441,38004,27189
岐阜県庁,1580,https://www2.njss.info/organizations/proc/1580,岐阜県,地方公共団体|都道府県庁,431,328535,303745
福島県庁,1637,https://www2.njss.info/organizations/proc/1637,福島県,地方公共団体|都道府県庁,426,58000,47008
三重県庁,1582,https://www2.njss.info/organizations/proc/1582,三重県,地方公共団体|都道府県庁,421,159605,141057
北海道庁,1686,https://www2.njss.info/organizations/proc/1686,北海道,地方公共団体|都道府県庁,404,190566,171850
福島県庁 土木部 事務所,7663,https://www2.njss.info/organizations/proc/7663,福島県,地方公共団体|都道府県庁,395,13133,11401
福岡県庁,1699,https://www2.njss.info/organizations/proc/1699,福岡県,地方公共団体|都道府県庁,382,146563,121183
名古屋市役所,1707,https://www2.njss.info/organizations/proc/1707,愛知県,地方公共団体|市区町村役所,378,150906,129500
長野県庁,1576,https://www2.njss.info/organizations/proc/1576,長野県,地方公共団体|都道府県庁,369,135307,106766
農林水産省(MAFF),300,https://www2.njss.info/organizations/proc/300,東京都,国・省庁|農林水産省,363,57664,28858
大阪府庁,1690,https://www2.njss.info/organizations/proc/1690,大阪府,地方公共団体|都道府県庁,358,128520,114112
山梨県庁,1678,https://www2.njss.info/organizations/proc/1678,山梨県,地方公共団体|都道府県庁,356,72881,64309
宮城県庁,1687,https://www2.njss.info/organizations/proc/1687,宮城県,地方公共団体|都道府県庁,348,166606,64755
横浜市役所,1657,https://www2.njss.info/organizations/proc/1657,神奈川県,地方公共団体|市区町村役所,340,220719,179534
群馬県庁,1689,https://www2.njss.info/organizations/proc/1689,群馬県,地方公共団体|都道府県庁,338,85477,71537
鳥取県庁,1694,https://www2.njss.info/organizations/proc/1694,鳥取県,地方公共団体|都道府県庁,335,73223,55865
石川県庁,1577,https://www2.njss.info/organizations/proc/1577,石川県,地方公共団体|都道府県庁,332,110864,85411
日本郵政グループ〈郵便局/日本郵便/ゆうちょ銀行/かんぽ生命〉,382,https://www2.njss.info/organizations/proc/382,東京都,国・省庁|外郭団体等|民営化法人,328,78328,12025
新潟県庁,1677,https://www2.njss.info/organizations/proc/1677,新潟県,地方公共団体|都道府県庁,324,111858,94199
山口県庁,1642,https://www2.njss.info/organizations/proc/1642,山口県,地方公共団体|都道府県庁,321,117262,103341
青森県庁,1574,https://www2.njss.info/organizations/proc/1574,青森県,地方公共団体|都道府県庁,318,60564,47079
国土交通省(MLIT) 中部地方整備局,500,https://www2.njss.info/organizations/proc/500,愛知県,国・省庁|国土交通省|整備局,313,61227,51526
